epoch	scaling	#test	difAvg	0difAvg	accur	TP	TN	FP	FN	P	N	correct
note: difAvg error (squared) and 0-difAvg error (squared) are multiplied by 100
0	2147483647	261	0.4315	0.4315	1.0	99.6169	0.0	0.3831	0.0	99.6169	0.3831	99.6169
0	2147483647	269	0.2278	0.2278	1.0	99.6283	0.0	0.3717	0.0	99.6283	0.3717	99.6283
0	2147483647	255	0.3344	0.3344	1.0	99.6078	0.0	0.0	0.3922	100.0	0.0	99.6078
0	2147483647	251	0.359	0.359	1.0	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	2147483647	281	0.3588	0.3588	1.0	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	2147483647	284	0.4008	0.4008	1.0	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	2147483647	260	0.4216	0.4216	1.0	100.0	0.0	0.0	0.0	100.0	0.0	100.0
0	2147483647	262	0.298	0.298	1.0	99.6183	0.0	0.3817	0.0	99.6183	0.3817	99.6183
0	2147483647	287	0.3251	0.3251	1.0	100.0	0.0	0.0	0.0	100.0	0.0	100.0
1	0.125	261	3312.7179	0.3009	0.0001	95.7854	0.0	0.0	4.2146	100.0	0.0	95.7854
1	0.15625	261	2205.1767	0.6377	0.0003	98.4674	0.0	0.7663	0.7663	99.2337	0.7663	98.4674
1	0.1875	257	1338.9048	0.3241	0.0002	91.8288	0.0	0.3891	7.7821	99.6109	0.3891	91.8288
1	0.21875	261	1211.0362	0.3948	0.0003	90.4215	0.0	0.3831	9.1954	99.6169	0.3831	90.4215
1	0.25	273	720.9012	0.3178	0.0004	89.7436	0.0	0.7326	9.5238	99.2674	0.7326	89.7436
1	0.3125	287	590.3085	0.4129	0.0007	92.3345	0.0	0.0	7.6655	100.0	0.0	92.3345
1	0.375	264	337.0092	0.329	0.001	89.0152	0.0	0.3788	10.6061	99.6212	0.3788	89.0152
1	0.4375	252	297.3655	0.2406	0.0008	96.0317	0.0	0.0	3.9683	100.0	0.0	96.0317
1	0.5	271	217.2626	0.2203	0.001	92.6199	0.0	0.0	7.3801	100.0	0.0	92.6199
1	0.625	245	148.5301	0.2953	0.002	95.9184	0.0	0.8163	3.2653	99.1837	0.8163	95.9184
1	0.75	263	97.1182	0.2966	0.0031	95.057	0.0	0.0	4.943	100.0	0.0	95.057
1	0.875	271	63.2665	0.4159	0.0066	88.9299	0.0	0.0	11.0701	100.0	0.0	88.9299
1	1	261	48.7491	0.2227	0.0046	98.0843	0.0	0.0	1.9157	100.0	0.0	98.0843
