3.189	3.741	2.051
1.123	1.927	1.658
2.29	0.358	0.011
1.484	1.811	1.183
0.554	0.204	2.095
2.569	2.474	2.482
-0.742	3.326	-0.818
-1.106	1.709	-0.037
1.831	1.768	2.375
2.067	1.178	1.106
1.296	-0.973	0.763
0.435	1.787	0.922
2.74	2.08	2.059
2.465	3.171	3.171
2.208	2.095	2.022
1.101	1.601	0.839
3.503	3.593	3.462
1.12	1.144	1.462
1.831	1.288	1.632
0.913	3.137	0.177
0.964	1.589	0.572
1.555	0.346	1.33
2.221	2.067	2.048
0.937	1.936	0.081
1.689	0.839	0.673
0.116	0.368	2.074
3.581	3.475	3.537
0.998	1.209	1.784
1.978	1.994	2.066
-0.4	-0.099	1.776
1.61	1.518	2.141
1.647	2.972	1.306
0.416	2.146	0.473
1.008	1.716	-0.046
2.479	2.195	2.232
2.162	1.601	2.121
2.397	1.612	2.784
-0.1	0.925	1.615
3.335	0.057	0.377
2.236	0.479	2.128
1.302	1.585	1.34
-0.375	2.035	0.587
1.62	1.42	3.251
-0.372	2.935	-0.347
2.873	2.187	2.214
1.272	1.898	1.353
2.592	2.472	2.918
2.919	1.76	1.342
4.081	4.165	4.211
3.696	-1.108	-0.833
-0.626	1.836	0.077
-0.046	0.275	2.144
2.28	0.421	0.447
2.234	1.512	1.49
1	1.61	1.465
1.012	2.77	2.533
-0.278	3.274	-0.07
2.88	3.461	2.853
1.839	0.861	0.855
1.571	0.423	0.676
1.422	1.337	0.963
1.066	1.28	0.393
2.434	-1.144	0.102
2.018	0.792	0.79
0.86	0.86	2.537
2.626	0.459	0.481
1.418	-0.489	2.294
0.68	1.409	1.267
3.612	3.808	4.489
0.827	0.711	1.283
1.978	0.998	0.986
2.447	1.272	1.257
2.158	1.2	0.985
0.93	0.281	1.187
2.087	0.746	0.426
0.244	0.263	2.419
4.187	-0.842	-1.077
1.282	1.932	1.628
4.525	4.629	4.125
1.409	0.499	0.945
0.729	1.464	3.234
-0.188	-0.153	3.572
2.662	1.006	1.1
0.22	2.726	-0.105
1.49	1.854	1.568
-0.466	1.227	1.656
2.912	2.888	4.094
4.207	0.391	0.581
1.915	0.783	0.58
3.777	-1.069	-1.519
3.007	-0.486	-0.463
1.316	1.679	1.967
1.862	-0.453	0.498
1.031	1.053	1.081
1.515	-0.326	1.742
2.227	2.631	2.176
1.824	0.826	-0.267
2.353	2.116	2.226
2.554	0.046	-0.816
-0.193	2.166	0.551
1.404	2.82	0.232
0.061	0.538	2.07
0.804	0.821	2.538
1.951	1.969	0.417
1.559	1.383	0.462
0.197	2.14	0.691
2.87	-0.12	-0.209
2.076	0.806	0.858
0.914	1.227	1.518
1.075	0.851	2.455
0.262	1.713	0.854
4.093	4.034	3.938
0.35	0.39	2.143
3.428	-0.867	-0.998
0.436	1.991	0.155
1.053	0.878	2.456
0.703	0.935	1.566
0.402	1.625	0.962
1.259	1.157	-0.729
0.956	1.411	1.19
1.553	2.132	1.324
1.833	2.419	1.643
-0.45	1.479	0.927
1.523	0.491	1.071
1.35	1.272	1.472
1.268	1.613	1.527
0.727	1.952	-0.047
1.661	1.769	1.341
1.04	1.618	1.812
0.995	1.638	0.838
0.696	0.335	2.38
-0.116	1.964	0.28
-1.259	3.894	-1.263
-0.395	2.66	-1.157
1.821	0.84	0.597
-0.661	2.353	0.941
1.589	0.409	0.821
1.387	0.019	1.098
0.698	0.57	1.55
1.891	1.821	1.91
1.735	3.472	1.59
2.034	2.602	1.919
1.34	1.964	1.479
0.235	3.242	0.236
1.268	1.099	2.113
-0.531	-0.524	3.122
4.106	3.784	3.368
-0.587	3.002	-0.415
1.908	1.135	3.857
-0.448	2.165	0.346
0.067	2.434	0.128
1.924	0.741	0.034
3.801	-1.096	-1.121
0.915	1.389	0.706
2.146	1.438	1.488
1.531	1.51	1.929
3.704	3.43	3.575
0.882	0.75	2.183
1.17	1.171	1.439
1.314	1.144	0.713
1.836	1.847	1.895
1.323	1.023	2.042
1.919	0.677	0.588
2.176	0.729	1.1
1.278	1.289	1.335
2.043	2.246	2.06
1.431	1.079	1.165
-0.56	3.15	-0.609
3.09	2.187	2.122
2.33	1.009	2.226
1.167	1.704	2.114
1.12	0.9	3.197
1.848	3.54	2.105
2.489	2.109	2.075
3.077	3.092	3.358
1.954	1.98	2.687
1.262	-0.682	1.358
1.3	1.101	0.25
2.38	2.383	3.525
0.693	0.338	1.878
1.123	1.136	2.128
2.966	-0.446	-0.391
-1.186	3.874	-1.256
1.282	1.454	-0.67
1.745	1.395	1.473
-0.065	2.318	0.337
-0.326	0.99	1.613
-0.19	-0.254	2.63
2.288	0.306	-1.231
1.518	1.598	1.084
3.541	2.546	2.609
1.332	0.958	1.202
0.951	-0.283	1.542
0.885	1.405	1.545
1.518	1.316	1.316
0.644	1.615	1.278
4.854	4.518	4.52
0.249	0.515	2.256
4.023	-1.21	-1.101
-2.86	5.497	-2.805
0.498	-0.895	2.331
-0.857	-0.835	3.574
1.807	0.809	0.738
1.31	0.293	0.967
2.482	0.138	-0.066
1.562	1.272	1.261
-0.982	1.722	-0.371
0.349	0.041	2.311
2.435	-0.611	0.176
-0.563	-0.135	2.898
3.512	2.79	3.05
0.759	2.047	0.318
4.666	4.46	4.552
1.946	-0.351	1.054
1.352	1.247	0.691
0.877	0.233	1.536
1.985	0.446	0.681
1.413	0.796	2.016
0.77	2.079	0.54
3.309	0.172	-0.114
1.24	1.326	1.257
2.99	1.412	0.87
2.423	0.535	-0.9
-0.185	2.196	0.364
2.434	0.041	-0.088
2.326	0.862	0.387
2.117	1.398	3.425
-1.356	3.855	-1.255
1.248	1.147	1.341
2.287	2.277	2.387
1.888	2.704	1.91
0.005	1.364	0.748
1.166	1.754	1.214
0.887	1.566	0.793
0.962	0.973	1.632
1.701	1.576	0.788
2.639	0.864	1.777
2.319	1.241	1.243
2.846	0.274	-0.217
3.177	3.157	2.979
1.046	1.118	1.018
2.614	-1.39	-0.046
-1.909	4.197	-1.655
1.649	1.439	1.87
2.237	0.514	1.646
-0.94	-1.103	3.563
0.209	1.048	1.521
3.786	-1.351	-0.988
2.228	0.288	0.365
1.465	1.333	0.84
0.39	0.424	2.211
1.268	1.282	1.318
1.397	1.624	1.575
2.516	0.602	0.464
0.326	0.425	3.019
1.857	1.015	0.144
0.157	2.568	0.125
1.04	0.742	1.678
3.067	-0.514	-0.688
1.458	1.301	0.691
2.626	0.331	0.36
0.814	1.165	2.822
0.065	2.576	-0.067
3.77	2.23	2.049
0.343	2.431	0.602
1.905	1.79	1.794
3.496	2.714	2.767
2.937	2.192	2.327
-1.02	0.063	2.461
0.933	1.148	1.306
0.058	2.808	1.021
0.436	1.892	0.383
0.71	2.765	0.769
0.828	1.731	2.178
2.912	-0.163	-0.485
0.76	1.604	1.759
2.56	1.012	0.456
2.188	2.226	3.089
1.817	1.255	1.273
2.162	3.459	3.023
-0.61	2.527	1.098
0.155	0.446	2.109
2.188	2.99	3.184
0.957	0.611	1.094
0.923	1.95	-0.345
1.788	2.04	2.121
2.234	2.698	2.486
2.15	3.255	2.022
1.265	1.386	1.099
3.012	-0.539	-0.229
2.839	1.671	1.748
3.396	1.558	2.063
0.261	1.211	1.325
0.081	1.98	1.252
2.198	0.574	0.556
0.98	0.912	1.784
-0.457	-0.133	2.68
0.946	0.943	1.714
2.485	1.156	0.93
2.189	2.117	2.769
1.882	1.275	0.39
1.896	2.19	0.958
1.181	0.864	-0.54
2.728	0.548	0.297
2.127	0.732	0.8
2.321	-0.399	0.212
1.264	1.134	2.615
4.066	-0.504	-0.7
2.206	1.566	1.708
-0.475	0.269	3.145
0.63	0.409	2.02
1.261	0.948	1.503
1.011	0.739	2.052
1.632	-0.618	1.372
3.159	3.067	2.995
2.025	1.572	1.962
3.037	1.274	2.145
2.305	1.372	1.328
0.997	0.643	2.008
0.244	0.411	2.195
2.326	-0.435	0.682
0.29	0.782	1.061
2.378	0.235	0.078
3.491	3.452	3.49
2.264	1.019	0.908
0.463	1.409	1.212
0.744	-0.653	1.243
-0.818	-0.527	3.013
1.411	1.586	1.15
-0.51	1.823	1.023
0.756	0.643	1.964
0.447	0.206	2.147
0.199	0.479	2.041
-0.608	3.018	-0.603
1.995	0.689	0.889
1.078	1.226	1.411
3.606	3.613	3.689
0.478	-0.611	3.318
2.678	4.131	2.239
2.462	1.433	1.339
-1.551	-1.512	3.997
0.344	-0.18	2.298
2.01	1.262	1.485
1.48	0.01	1.23
0.769	0.692	2.076
1.953	1.762	1.686
0.964	0.864	2.811
1.079	1.664	1.08
2.537	2.938	2.565
-0.042	1.81	0.768
4.135	-0.879	-1.145
0.991	0.944	1.876
2.274	2.459	2.188
4.545	4.543	4.598
1.599	0.121	1.177
0.168	1.299	1.389
0.413	1.857	-0.495
1.253	1.499	1.457
3.164	3.382	3.707
-0.024	1.31	1.357
2.527	1.22	1.26
3.216	-0.67	-0.662
-0.927	4.345	-1.076
-0.485	3.409	-0.59
1.127	1.474	0.404
1.543	0.024	-0.599
-1.059	-1.059	3.701
1.817	-1.239	1.494
1.231	1.345	1.211
4.45	4.038	4.45
1.47	1.875	1.143
-0.301	1.029	1.79
-0.07	2.934	0.076
2.482	0.129	0.123
1.417	2.241	1.799
-0.67	0.736	1.505
1.59	2.174	1.353
1.753	0.188	2.412
0.356	2.516	0.967
0.375	3.018	-0.823
1.181	1.194	1.411
1.559	1.607	1.304
0.887	1.904	0.677
0.141	0.153	2.803
1.134	1.025	1.282
1.812	0.729	1.56
1.772	2.077	2.201
-0.12	2.694	-0.471
-0.156	0.345	2.098
1.914	-0.253	0.713
1.917	1.291	1.388
1.652	0.855	-0.851
0.694	3.193	0.696
0.871	1.888	-0.168
1.244	1.414	1.123
0.031	0.291	2.385
0.747	2.306	0.193
1.711	1.184	1.7
0.594	0.562	2.026
1.503	1.586	1.59
1.651	2.816	0.433
1.828	1.781	1.811
-0.874	2.26	0.296
2.186	2.306	3.024
0.927	1.901	0.447
2.247	-0.28	0.125
1.112	1.302	0.343
2.49	0.567	-0.255
1.529	-0.675	0.235
1.623	2.892	2.379
1.675	1.532	3.911
0.939	0.231	1.523
3.488	-0.264	0.323
1.792	1.839	1.934
0.921	0.062	1.593
-0.193	1.777	1.583
0.702	1.702	1.124
0.804	2.042	0.633
2.838	-0.512	0.741
0.795	0.045	1.966
2.471	2.691	3.036
2.822	2.812	3.273
0.983	1.341	1.302
1.845	1.69	1.661
1.122	1.785	1.297
2.859	2.92	2.952
0.687	2.85	-0.95
2.031	0.642	0.649
1.712	1.517	1.997
0.273	2.137	0.336
1.265	1.415	1.262
0.523	1.772	1.038
1.876	0.882	2.067
1.563	1.998	1.634
0.887	0.63	1.797
2.708	3.356	3.197
-0.926	-0.925	3.539
-1.782	-0.256	3.31
1.133	1.342	1.185
1.617	1.285	1.727
2.589	2.86	2.594
3.339	3.223	3.22
2.003	0.589	0.708
1.267	0.146	1.358
